gender,SeniorCitizen,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card__automatic_,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
1,1,0,1.0,1,1,0.7438963627304435,0.7750115393491808,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,1,0.986111111111111,1,0,0.4549078226208272,0.5162820216939764,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,1,0.8472222222222222,1,0,0.41255605381165916,0.4180360027694438,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.1111111111111111,1,1,0.31340308918784254,0.04001269328409878,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.013888888888888888,1,0,0.0558046836073742,0.0006000461573967227,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0.986111111111111,1,1,0.5829596412556055,0.635114239556889,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
1,0,1,0.9305555555555555,1,0,0.687593423019432,0.6808216016616663,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
1,0,1,0.18055555555555555,1,1,0.33582461385151974,0.07521924763443343,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.1388888888888889,1,1,0.02142501245640263,0.019449573044080314,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0.40277777777777773,0,1,0.12157448928749379,0.09664781906300486,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0.2638888888888889,1,1,0.012954658694569021,0.04243018693745673,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1,1,1.0,1,0,0.7379172894867962,0.7409935379644588,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0.08333333333333333,1,1,0.6163428001993025,0.054765751211631665,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0,0,0.18055555555555555,1,1,0.5670154459392128,0.11200669282252482,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True
1,0,1,0.9305555555555555,1,1,0.009965122072745414,0.14601892453265639,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,1,0,0.05555555555555555,1,0,0.5416043846537121,0.034496884375721217,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.09722222222222221,1,1,0.5525660189337319,0.05682552504038773,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.5694444444444444,1,1,0.018435475834578996,0.09764597276713594,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1,0,0.7916666666666666,1,0,0.826108619830593,0.6647588276021232,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
1,0,1,0.75,0,0,0.2750373692077728,0.27755019616893606,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
1,1,0,0.027777777777777776,1,1,0.7683109118086697,0.01879183014078006,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0.8333333333333333,1,1,0.5156950672645741,0.4853334871913224,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,0,0,0.08333333333333333,0,0,0.3243647234678626,0.03332564043387953,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
1,0,0,0.3055555555555555,1,1,0.6646736422521176,0.21404338795291947,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0.027777777777777776,1,0,0.47135027404085705,0.013333717978306025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
